Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
15795,1.8861859012105302,1.277664895788425,-0.5923939242388692,-1.280429352496283,-1.3598561409799192,0.6127739050625697,0.028181157369128247,0.6963874474567153,0.6725737012027313,-1.5708761520684993,-0.9006207346478687,0.6067230591361827,2.9490944253087252,0.14488783309689118,-0.41619440488525394,-1.2931415437586478,0.5320061988219431,0.32297450361766816,-0.524567013767051,1.3254321090950785,-0.29424250563645765,-0.6300249795338944,0.690472686121513,1.4069347458917507,-0.49653173548196905,-1.0299722747769358,-0.12903411512978377,-1.0512200297825027,3066.24,0
860,0.17457781283183896,-0.5915713888358299,-0.863990769679816,1.7547941819843647,0.7462535660272207,-1.0534155631736561,-0.009118996644203544,0.9553052085705107,1.8998819348952156,-1.1267674689098053,0.638391925608383,-0.18319661872038787,1.2446795807367868,0.02390304328495547,-1.1300693390403578,0.5723903111756757,0.3616610612470166,-0.06100397185538355,1.3522026788671444,-1.4068150094975382,1.356583385827982,0.7319555025098458,0.26561699317253346,-0.4841184945848177,-1.1534924259847839,0.04607922163315134,-0.8516621743343933,-2.5317693162508137,4344.14,0
76820,0.25755039072276437,0.5470973811700379,0.04852162794482699,-2.081929407883722,0.6454841811410754,-0.6237689606958051,1.085895565831578,0.08840688629184736,-0.13263374638257355,-1.1939250063990554,-0.3286184757489846,0.5345056484805503,-1.3510743662080213,-0.35141423571373254,-0.4500128579958137,0.45060341286253885,1.7611881248673737,0.5002404694365699,0.4240668615184512,0.5859042011646491,-0.20035257779416388,-0.19692180799688955,0.6577631761503737,0.9552692372072055,0.2678436378663333,-1.0736886589177526,-0.7589706989033448,-0.22710600778092602,3309.85,0
54886,-0.07444591576616721,-0.20219265243389406,-0.8309501164110378,1.6964563682900382,2.16325472330546,1.9140313538667861,0.4746982328799528,1.4775300810552618,-0.9745293046706415,0.14294309476370676,0.6031874310823431,0.8876554258738361,-1.3224579567435701,1.5634133588321082,1.2571492168625729,-1.869816339532164,-0.0003136726117747121,-0.5336003064391669,0.03944704824073949,-0.736770135947622,0.23184209213484805,-0.46458107811561833,-0.06953228624226938,-0.038742894989543024,-0.8235349706258495,0.08108254290082371,-0.978740836309766,-0.1417575540275386,2170.81,0
6265,-1.9187712152990415,-0.2176812032272203,0.2704568257798388,0.2110174672026184,-0.30777823495300083,-0.19068240076334658,-0.025026958745143917,-1.141689114133505,1.1070806692869728,1.732514999485092,-0.5441140021141926,-0.3206676255571917,0.4818660617184915,-0.8184286659420014,-0.5353350870162231,-1.1617838439123638,-1.1818741254208012,1.2208212988130478,-1.4359095238685275,-1.4152671919241875,1.146030144142065,0.04435879751560705,-1.1869933883057446,-0.6083507646793376,-0.5182526388612024,-0.4806479414882414,-0.2724100166036872,0.13556341641470915,4097.32,0
82386,-0.026513875449216878,1.09877685198719,-0.05023810944913695,-0.09671311187039239,0.21915032766393897,0.21743287317972287,0.8177662992002871,-0.19365945927971812,-0.12038116395359824,2.2313001461926323,-0.1627929060722942,1.7952113559123222,0.547264797377967,1.532367724678116,0.35845361820962024,-0.28313889674376713,0.44947391283230687,-0.8767737812118448,-1.3158158164275071,0.21853404241094568,-0.7773714848459066,-1.745707432859652,1.0578141808207961,0.5925303073177614,1.3252760904370375,2.5393816227828614,1.233724278336193,0.7285186435145362,4528.01,0
37194,0.06023020994102644,0.8254163489880298,-0.23894804686640975,-0.5449190868089497,0.24938368371075526,0.8700677306887542,1.3902075490173134,-0.7168223206028049,-2.172669546014036,0.6380511014407572,0.04091917539572113,0.23007075919140207,0.5488838353173644,0.49986412374037137,-0.7309562757154733,-0.30085974714082625,2.0860470495371137,1.7120402840178925,0.2810092502818063,1.0094717885959688,1.558789184496894,0.49470565377503245,-0.589112132781127,0.4096361186839937,0.827115428565768,-0.03989438375171192,-0.8050951810305088,0.6376058122312086,599.68,0
87498,2.463242112485286,0.8135096360006385,-0.9075636620415979,0.39913611435207086,1.5774532797634744,0.49568188797260465,0.5578103063518622,-1.86653661707306,0.8474216771504216,0.5008444749444569,-1.0021874557814727,0.49774308909139425,-0.25495579355369785,-1.3993061748019415,0.7579218499236196,-1.2094769354188053,-1.0147594931858521,-1.7476365098282616,-2.132595626154836,-0.8449414385934964,-1.5304614097433769,0.38343503140364416,-0.9355962987624259,0.3569727592669261,0.1579743122514517,-1.4042395662615887,0.1884757610181029,0.2587698052439216,2660.13,0
44131,-0.19236096478112252,1.305478807154329,-0.5767713305683327,-0.037634702424848364,-0.0952955323869521,0.15041890514357642,0.010352619843380607,-0.08268068584269925,-0.5353281859539227,-1.801057734152739,0.7408243454201259,0.6659242520544614,-0.12545426000290022,0.3676492929914216,0.6855077387902041,0.38897872935218375,-0.36146276669398575,0.43477006455689116,1.0126374096440718,-1.4990159604584012,1.6296421311127987,-0.40930847409572124,-0.17791787580439816,0.08127842205619876,-1.2719190011127228,-0.13418021067692457,-0.6566893456274132,1.1955313880867093,1423.28,0
60263,0.30154734233361247,0.02100384163275905,0.755391225825756,1.1033018820165215,0.27902152577033923,0.3649610024662254,-1.3118362323501596,-0.12174750838328353,-0.09053328230416077,-0.5426737997340217,-0.5132135664715852,0.4215866106144557,0.3278795241593574,-2.100026507651624,1.8486088332964115,0.2514736089405121,0.41644603810145264,0.47543068252662346,-0.1581538443723203,-0.09184476433495513,-0.3726755839519746,1.0059245117964166,-0.912810919296513,-0.037893081716830875,0.2113965674706589,0.5193587456378881,-0.26030904127143756,-1.5189697808133147,236.26,0
